Month,Machine learning: (Worldwide),artificial intelligence: (Worldwide),IOT: (Worldwide),Cloud computing: (Worldwide),cyber security: (Worldwide)
2021-05,56,33,52,23,47
2021-06,58,35,55,24,47
2021-07,57,33,50,22,46
2021-08,55,34,50,21,47
2021-09,56,36,54,25,49
2021-10,58,37,56,25,49
2021-11,64,37,57,26,49
2021-12,58,35,55,25,45
2022-01,72,40,57,29,54
2022-02,85,47,70,34,58
2022-03,90,49,76,36,62
2022-04,92,46,67,33,59
2022-05,91,42,66,32,59
2022-06,87,48,63,31,63
2022-07,79,44,57,27,65
2022-08,80,43,57,28,63
2022-09,85,50,63,33,67
2022-10,82,47,61,30,69
2022-11,88,47,65,34,66
2022-12,84,50,62,32,61
2023-01,90,57,62,31,66
2023-02,92,65,64,31,66
2023-03,87,67,64,29,66
2023-04,87,72,61,27,65
2023-05,90,84,64,32,75
2023-06,85,78,63,28,76
2023-07,87,74,61,26,82
2023-08,83,65,61,27,82
2023-09,86,71,65,29,81
2023-10,89,70,68,29,83
2023-11,88,69,67,30,80
2023-12,86,66,65,31,77
2024-01,88,72,66,29,83
2024-02,98,74,70,29,92
2024-03,95,75,71,27,84
2024-04,100,72,69,26,79
2024-05,94,80,67,29,86
2024-06,91,74,62,24,81
2024-07,86,65,62,24,82
2024-08,84,68,62,25,84
2024-09,89,73,63,26,83
2024-10,92,70,67,25,85
2024-11,94,69,69,27,80
